country,city,year,month,day,value
40,490,2022,5,15,55.0
47,916,2022,5,2,311.0
40,661,2022,5,26,83.01
40,1084,2022,4,15,108.1
40,1081,2022,5,20,271.07
60,44,2021,9,23,323.95
47,916,2022,4,10,383.0
68,624,2022,5,15,3.99203
15,1967,2020,12,31,67.0
40,482,2020,3,30,500.0
79,1180,2022,4,10,64.0
40,1083,2022,5,14,56.9
40,562,2018,2,22,232.0
88,1921,2022,5,9,14.84
40,207,2022,4,17,231.8
40,1466,2022,4,7,318.53
14,1397,2022,5,16,138.0
67,1336,2022,4,27,101.0
84,1488,2022,5,9,0.4
38,1639,2022,5,18,4.75
84,1294,2022,4,20,4.8
68,1860,2022,4,3,66.42
15,400,2018,10,13,34.0
40,1778,2022,5,22,54.6
29,1666,2022,4,16,6.0
40,207,2022,4,16,177.6
40,1016,2022,5,17,61.0
40,274,2022,4,19,240.0
84,677,2022,5,24,3.2
75,1667,2020,10,22,500.0
40,161,2022,4,28,360.5
40,859,2022,4,2,79.3
60,354,2021,9,16,446.53
29,1558,2022,3,26,34.0
40,728,2022,4,15,102.5
40,823,2022,5,10,124.61
40,614,2022,4,9,158.0
40,867,2022,4,14,238.0
40,379,2022,5,12,259.0
84,1842,2022,3,30,9.3
40,158,2022,5,13,29.48
40,1192,2022,4,15,135.3
40,160,2022,4,23,109.0
40,208,2022,4,9,79.0
40,805,2022,4,4,111.0
28,827,2022,5,14,5.7
40,1192,2022,4,5,113.4
40,696,2022,4,9,239.0
40,564,2022,4,27,123.1
47,916,2022,4,4,58.0
74,877,2022,5,18,293.0
29,1869,2022,4,5,6.0
84,1614,2022,5,13,17.5
25,963,2020,6,4,500.0
40,1140,2022,4,24,159.0
62,719,2022,4,16,19.284
40,45,2022,5,12,128.8
40,1579,2022,4,8,123.0
40,1624,2022,4,29,309.0
40,1466,2022,4,18,210.29
40,1427,2022,5,14,500.0
40,274,2022,4,20,96.0
79,1227,2022,4,13,104.0
40,562,2022,4,17,288.3
28,1804,2022,5,19,9.3
60,354,2021,9,16,446.53
40,818,2022,4,26,57.0
14,992,2022,4,18,53.0
40,385,2022,4,25,81.0
40,213,2022,4,4,222.0
84,639,2022,5,5,1.9
40,206,2022,3,30,204.72
40,1624,2022,4,16,242.0
14,1711,2022,5,12,108.0
40,1427,2022,5,21,500.0
40,1146,2022,4,1,137.86
79,1228,2022,5,19,6.0
40,696,2022,4,13,206.0
40,640,2022,4,10,107.0
10,1270,2022,4,29,59.0
59,113,2022,3,30,14.7
84,559,2021,7,7,1.0
40,696,2022,4,28,253.0
40,1152,2022,4,14,82.0
40,696,2022,4,9,239.0
40,848,2022,5,2,500.0
40,705,2022,5,21,500.0
4,1685,2022,4,7,3.2
84,1298,2022,3,31,3.0
40,1084,2022,4,8,439.7
40,852,2022,3,31,120.42
40,206,2022,4,9,215.07
40,728,2022,4,27,64.1
40,155,2022,4,7,246.0
84,309,2022,5,6,442.4
40,821,2022,5,21,136.6
40,1315,2020,1,1,131.51
